N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
5712,-6.189821024859944,-1672.9755901237747,3213.394531790616,48.61304505019183,263.1306169547366,497.6829340559634,560.7447814594266,42548.02113599246,42530.14994506844,5330.353132662515,[0.98254356 0.16501657 0.0858934 ],[ 0.1860326  -0.87121727 -0.45428223],[ 1.32280802e-04 -4.62331050e-01  8.86707383e-01]
2,42.834621999999996,-1527.7710189999998,3088.2378665,0.24783600000000305,0.2324350000000095,0.9138935000000856,0.9190510365090176,1.3788763842081078,1.3788763842081075,,[-0.96715498  0.06265405 -0.24634471],[-0.33965572  0.92941873  0.14427341],[-0.25418742 -0.23839173  0.93731432]
9,20.405570111111114,-1711.907153111111,3241.0505203333337,7.054300444938038,7.560503521410892,4.749997477645072,6.712106210259701,33.06026377333438,28.713009419437203,20.33089389966012,[0.40655582 0.20146231 0.89113708],[ 0.68311187 -0.71472892 -0.15006913],[ 0.60668817  0.6697578  -0.4281985 ]
16,-94.093922875,-1674.5002344999998,3226.819437125,8.476464808792052,7.270032584190176,20.884345231278115,19.302015632581586,91.21896118275448,89.98089950255691,39.11584603278614,[-0.82139561  0.5124048   0.25050065],[ 0.51066028  0.85631439 -0.0771475 ],[ 0.25403806 -0.06455211  0.96503766]
4,50.4298805,-1726.05665975,3169.8516495,5.675054257397832,7.245793020705977,4.312059921178125,2.335735191344819,20.32438601994601,18.885216587346545,7.528670005946957,[ 0.54154826 -0.63226641  0.55404392],[ 0.64080615 -0.11612147 -0.75886974],[0.54414424 0.76599934 0.34227483]
4,-26.053214,-1729.957228,3255.7803015,4.229597802647553,3.2621365698324003,5.343952568934759,6.143115518548952,15.068199853748549,14.976007798076678,2.3193612592317185,[ 0.8261384   0.31152137 -0.46952079],[-0.02402836  0.85199003  0.52300634],[-0.56295468  0.42079381 -0.71134703]
3,80.03084066666666,-1729.3633576666664,3345.473268,2.245471023623677,5.662197898512834,2.4171861289210113,4.674244359185162,11.35060535060199,10.79134857377805,3.518954075337299,[0.29566086 0.31802432 0.90080253],[-0.93585386  0.28568419  0.20630586],[-0.19173476 -0.90401608  0.38208992]
3,86.32880466666667,-1821.9750889999998,3575.6425476666664,0.3071321890352042,4.3718216808557395,3.1817806206350485,4.011634546085474,9.38043968723065,8.03967574536112,4.83283174083518,[ 0.99698467 -0.03216484  0.07061867],[-0.05072677  0.41853319  0.90678375],[-0.05872281 -0.90763175  0.41563955]
2,-8.198026500000001,-1232.2087660000002,2422.2663135000003,5.3691725,13.496578999999997,3.9833044999998037,2.585253910765232,21.30034613698641,21.300346136986406,,[ 0.93430279 -0.34190078 -0.10090667],[ 0.08293646 -0.31229621  0.94635755],[-0.35648043 -0.89609084 -0.26446722]
2,-78.97627750000001,-2042.6492279999998,3719.8740820000003,4.421377499999998,5.5623469999999315,4.80663299999992,6.807048665364164,12.131941637067227,12.131941637067227,0.0,[ 0.85695125  0.38996796 -0.33698597],[0.29922509 0.74884986 0.59134443],[ 0.51539747 -0.64839964  0.56030649]
