N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
14,-3573.6178406428567,107.50172892857142,-5.0437872142857145,8.538995542925107,5.499451770656775,9.349125314387141,8.410718850026973,50.11887594476577,49.29421243937149,19.84909419915656,[-0.26450636  0.93409972  0.23977926],[-0.73669419 -0.03525948 -0.67530619],[-0.62234883 -0.35526677  0.69747219]
50,-2947.050983899999,-2.9564749400000006,-47.75058301999999,10.628935076206325,18.298920203887363,12.985650934478189,10.527286913661461,163.29283632797754,148.67920226527238,113.46863701121384,[-0.88852835 -0.10345103 -0.447007  ],[-0.39115148 -0.338456    0.85583179],[ 0.23982888 -0.93527826 -0.26026272]
35,-3039.7917508571427,62.33272442857143,-30.898646142857142,5.646375157352494,13.137659085503563,10.419546981571068,5.8186960664411265,101.67535575859708,84.40843945362391,66.71281164785375,[0.95486645 0.27898466 0.10196874],[-0.09138686 -0.05071265  0.99452334],[ 0.28262786 -0.95895557 -0.02292828]
39,-2912.5753176923076,62.861481205128186,-23.635113641025644,14.155629065716706,14.707823502183706,25.092891291492872,14.19699923310125,198.81451342203528,196.59287775332407,58.64918970110207,[ 0.62232284 -0.51072639  0.5931887 ],[-0.6651441  -0.74455448  0.05676228],[ 0.4126713  -0.42988043 -0.80305991]
9,-3322.1312256666665,63.052684,-60.389093999999986,2.296813730379877,3.031844591315289,5.731266155160363,2.2836095122896696,20.215548366648225,18.03451810719147,10.851497643336442,[ 0.82480236 -0.56537247  0.00741863],[-0.54968004 -0.7986968   0.24481684],[0.13248746 0.20600338 0.96954096]
13,-4014.3377932307694,34.73843938461538,-57.935411615384616,16.762795698064423,7.0861894201868205,7.104371218125972,16.768193785624227,66.8525962231249,64.40061665999633,36.15115081885451,[-0.02126727  0.70872996  0.70515924],[-0.01434091 -0.70546245  0.70860219],[-0.99967097 -0.00495741 -0.02516709]
58,-3233.5800889310344,14.42334777586207,-32.63818743103448,4.395612525451304,22.215129532201825,10.448137682471382,4.347829143087721,187.9489966808794,173.1680675291882,82.7021379947263,[0.96496171 0.05127324 0.25733238],[ 0.26221354 -0.15239727 -0.95290038],[ 0.00964154 -0.98698841  0.16050207]
5,-2878.4249573999996,50.3437162,-6.7510015999999995,3.3760706523409896,7.136805973500847,2.9500941809194225,3.484436578276744,18.532191269506725,17.564280329685324,7.6421872224873555,[0.8745279  0.37378785 0.3090042 ],[-0.29513277 -0.09540841  0.95068075],[-0.38483451  0.9225941  -0.02687973]
11,-3565.2920636363638,11.871402636363637,37.628797454545456,8.941903681668949,15.19631726213969,6.321152288510455,9.013348690050716,60.9307755018285,58.13581411789871,25.0241156974526,[ 0.21479495 -0.23802751  0.9472096 ],[ 0.89610679  0.43372366 -0.09421468],[-0.38840153  0.86903779  0.30645973]
9,-3638.177202555556,-38.89088511111111,-10.083903777777778,4.262389424232485,4.598975109002377,3.5312889390606306,4.251510574349417,20.475587563974305,18.485764591026822,13.085124817980038,[-0.54171067  0.13096936  0.83029909],[-0.58615183 -0.76685362 -0.26146045],[ 0.60247455 -0.62831724  0.49218072]
11,-3797.4081199999996,31.617660454545454,-75.77467490909092,4.637495754971332,6.221723898188966,4.73467151785375,4.635114280122084,27.859431912833468,24.952136584010233,20.473792587826946,[-0.70034165 -0.42226486 -0.5755119 ],[-0.61973765 -0.0403569   0.78377074],[ 0.35418472 -0.90557369  0.23342982]
