N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
3548,-3487.980788693066,-920.6049141699549,1930.6328245011275,255.0091032117544,87.81058700222997,144.98253778318985,296.417306550385,17960.551989155836,17937.307247381803,4581.977179185644,[0.29097778 0.51968062 0.80328325],[-0.42921778  0.82128534 -0.37584903],[-0.85504621 -0.23541974  0.46203195]
2986,-2696.6476239357,-701.8582647920294,1494.909004396182,218.50337382884516,72.06320657842898,125.90972410919139,254.97618887144048,14143.466400298517,14120.085895859642,3376.380080149036,[-0.52102245  0.30577671 -0.79689159],[-0.03543892  0.92507309  0.37813208],[-0.85280695 -0.22525628  0.47114745]
7,-2933.5336274285714,-834.4280831428571,1694.15619,4.946739286661842,6.471055157690054,4.0942649887749125,1.6381925495316925,23.85732863634195,23.51737675155405,6.42416719710395,[ 0.83298814  0.5179223  -0.19464646],[-0.07524755  0.45457379  0.88752491],[-0.54815012  0.72465106 -0.41762696]
3,-3091.246662333333,-830.8766153333332,1618.3256426666667,10.529695669792172,5.932872440903155,4.360749256127554,9.83215263022934,22.25463549734876,18.547120125049528,12.299314460035504,[0.17292314 0.5795028  0.79641327],[-0.07506321 -0.79848894  0.59731142],[-0.98207082  0.1630703   0.09457787]
2,-3396.428809,-950.7956839999999,1976.6281845,2.2548900000001595,0.17779500000000326,1.974181499999986,0.8872615840602975,4.245829146131039,4.245829146131039,0.0,[0.         0.99596909 0.08969708],[ 0.66022764  0.06736839 -0.74803808],[-0.75106555  0.05922049 -0.65756632]
4,-3962.081114,-960.2158302500001,2210.1549670000004,16.704756728951985,4.23252050277502,23.27102183440409,4.0936299481184495,57.882881566613456,57.212214645818705,9.184943769217227,[-0.76412851  0.34609844  0.54435603],[-0.2779866  -0.9381771   0.20626969],[-0.58209197 -0.00629287 -0.8130986 ]
5,-2971.6586834,-809.9953686000001,1614.6352202,5.984723853542214,4.137791754997367,4.60288019010814,3.2996540601681446,19.08850534504219,16.9038333568542,9.54656189890961,[ 0.59863649 -0.08154431 -0.79685938],[ 0.11299222  0.99345421 -0.01677745],[-0.79301142  0.07999532 -0.60393182]
2,-2385.0132245,-623.606454,1251.637148,5.314536500000031,4.668184999999994,0.791046999999935,3.8897767816363285,10.06598278960047,10.06598278960047,0.0,[0.66520331 0.73616756 0.12474723],[ 0.07789119 -0.07972318  0.99376918],[-0.74666227  0.65585355  0.11113762]
5,-3920.9307302,-1016.7927471999999,2294.182899,5.607424450071691,3.4846012864970666,9.436961502793595,2.3260829135825984,25.380426644337046,25.171045253332206,6.976489027397666,[-0.67869131  0.51131583  0.52719468],[ 0.5593835   0.82503417 -0.0800545 ],[ 0.47588676 -0.24057171  0.84596516]
2,-3221.4324855,-840.3449005,1899.280427,4.154683499999919,8.240428500000007,3.7622149999999692,0.17904715016493356,14.093992944159488,14.093992944159488,8.429369702178807e-08,[ 0.90895808  0.3792327  -0.17314087],[0.         0.41531795 0.90967632],[ 0.41688752 -0.82685764  0.37750661]
2,-3004.434569,-791.3782725000001,1622.4642135,0.07284200000003693,0.013231500000017604,0.005582500000059553,0.06800996127208236,0.1049970843643433,0.1049970843643433,1.3170890159654386e-09,[-0.19342871  0.90395231 -0.38138637],[0.06765321 0.04801136 0.99655304],[-0.98111433 -0.17821606  0.07519111]
14,-3088.875218999999,-737.1095607142857,1743.7199832857139,13.526262023872176,9.479451427338587,10.803283042906052,8.307969326760688,69.7703715276078,68.02566433803678,37.569449264800156,[ 0.63447209  0.65256921 -0.41424461],[-0.16646898  0.63871793  0.75121734],[-0.75480676  0.40766756 -0.51388123]
3,-3251.9111876666666,-887.9376666666667,1899.993845,3.558425153928028,6.202097689167243,2.2857581358047914,4.558341070082129,13.0022800589911,10.900459576987739,7.0879664039055585,[ 0.55040066 -0.08165627  0.83089793],[-0.80857281  0.19581809  0.5548561 ],[ 0.20801232  0.97723463 -0.04175337]
4,-2769.316849,-805.5011505,1515.3048835,1.9353758093626798,7.652053573797632,2.411865780431699,1.7034897414016021,16.359182092900937,15.71515831867446,5.508589653507373,[-0.86355895 -0.07321091  0.49890491],[0.48136087 0.17500968 0.85887329],[ 0.15019208 -0.98184101  0.11589031]
4,-3504.258871,-918.98130875,1822.6870645000001,3.466565888302686,4.502199313682721,2.4910317409493654,3.5031252023853403,12.231037442592614,10.902829839066627,6.282273425929936,[ 0.34539057 -0.50986368  0.78787333],[ 0.81925762 -0.24567245 -0.51813318],[0.45773606 0.82442955 0.33285676]
4,-3166.21250975,-769.6287340000001,1662.1040595,3.4266299490370984,1.5407234156523573,2.8715414270310298,4.283588123910718,9.456652788332983,8.742754808480782,3.609283771936343,[0.26612225 0.74840868 0.60750588],[-0.61574009  0.61688001 -0.49022771],[-0.7416489  -0.24360523  0.62499072]
2,-2517.8935565,-718.641403,1473.1155415,1.3609655000000203,0.4734809999999925,0.13849049999998897,1.1859405103339213,2.04723763551843,2.0472376355184294,2.1073424255447017e-08,[-0.34078055  0.90233615  0.26392819],[ 0.        -0.280732   0.9597862],[-0.94014287 -0.32707647 -0.09566801]
2,-2820.9156605,-831.2124054999999,1609.2125475,5.427106500000036,1.7525774999999726,1.0600764999999228,4.492494716359261,8.20350840088567,8.203508400885669,,[-0.07317252 -0.3404254   0.93742004],[-0.3530989   0.80053431  0.48421688],[-0.935586   -0.30212913 -0.18274798]
2,-2525.5303704999997,-713.428553,1453.1684985,0.40295949999995173,1.250125999999966,1.1464905000000272,0.5134399434411989,2.4656162885195414,2.465616288519541,1.971238338250362e-08,[ 0.97292356  0.17033954 -0.15621839],[0.11169117 0.69098445 0.71418875],[ 0.23112712 -0.71703985  0.65759722]
