TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39627811920547385,-0.3333333333333333,sheet,0.01,0.99,0.0,0.0,0.04039656794795559
39627811920546743,-0.1,sheet,0.0,1.0,0.0,0.0,-0.0
39627805847193049,-0.15789473684210525,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39627805847193003,0.0,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39627793759212868,0.6363636363636364,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627817922596910,0.375,filament,0.0,0.19,0.81,0.0,0.3507357299419487
39627817922596996,-0.05263157894736842,sheet,0.0,0.87,0.13,0.0,0.2787190925139945
39627817943564952,0.2857142857142857,filament,0.0,0.08,0.92,0.0,0.2010895951011364
39627793792767834,0.0,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39627781675422229,0.625,filament,0.0,0.01,0.98,0.01,0.08072027127091033
39627757549782622,1.0,filament,0.0,0.0,0.97,0.03,0.0971959289157881
39627787757159426,-0.5,sheet,0.0,1.0,0.0,0.0,-0.0
39627787757159636,0.0,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39627787757161272,0.25,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39627787765547633,0.14285714285714285,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627793759208662,0.38461538461538464,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39627793759208796,0.29411764705882354,filament,0.0,0.15,0.85,0.0,0.3049201523582002
39627775644013852,0.375,filament,0.0,0.19,0.81,0.0,0.3507357299419487
39627763589578848,0.42857142857142855,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39627757541396148,0.375,filament,0.0,0.0,1.0,0.0,-0.0
39627775644009786,-0.6363636363636364,sheet,0.0,0.92,0.08,0.0,0.2010895951011364
39627799836757698,-0.2222222222222222,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627757541396378,-0.2631578947368421,sheet,0.0,0.68,0.32,0.0,0.45219072886224687
39627799836757595,0.0,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39627799824175982,0.0,sheet,0.0,0.76,0.24,0.0,0.39752013969226113
39627763568608660,-0.2,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39627763597968787,0.38461538461538464,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627763597968975,0.058823529411764705,filament,0.0,0.29,0.71,0.0,0.43436062316970225
39627763597969157,0.058823529411764705,filament,0.0,0.36,0.64,0.0,0.4713415946277461
39627763597969269,0.23076923076923078,sheet,0.0,0.62,0.38,0.0,0.47902101111314976
39627763597968645,-0.23076923076923078,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39627781683811972,0.6363636363636364,filament,0.0,0.0,0.82,0.18,0.34003852286413994
39627763597969950,-0.16666666666666666,sheet,0.0,1.0,0.0,0.0,-0.0
39627811882798636,0.2222222222222222,sheet,0.0,0.79,0.21,0.0,0.37074136996563684
39627763568608843,0.5555555555555556,filament,0.0,0.06,0.93,0.01,0.20367037270049304
39627781717365724,0.38461538461538464,filament,0.0,0.49,0.51,0.0,0.49985572087640495
39627811882797245,0.2,filament,0.0,0.23,0.77,0.0,0.38900565177326885
39627763568608747,0.0,sheet,0.0,0.53,0.47,0.0,0.4987007942838698
39627805872358718,0.25,filament,0.0,0.39,0.61,0.0,0.4823997742525436
39627805859776657,-0.125,sheet,0.0,0.78,0.22,0.0,0.38008375148098283
39627781725750577,0.09090909090909091,sheet,0.0,0.77,0.23,0.0,0.38900565177326885
39627763568608699,-0.06666666666666667,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
39627787723609341,-0.2,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39627799815784384,0.5,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627781675423166,0.25,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39627811882798256,-0.2,filament,0.0,0.23,0.77,0.0,0.38900565177326885
39627751501597062,0.8,filament,0.0,0.0,1.0,0.0,-0.0
