TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627853658065415,0.0,0.83,0.17,0.0,0.32885238937210975
39627847618265847,0.01,0.97,0.02,0.0,0.11097036642660543
39627865779603949,0.0,0.89,0.11,0.0,0.249957979082264
39627853658064960,0.0,0.97,0.03,0.0,0.0971959289157881
39627847656015720,0.0,0.44,0.56,0.0,0.4947937606110278
39627853687423946,0.0,0.97,0.03,0.0,0.0971959289157881
39627805356458315,0.0,0.77,0.23,0.0,0.38900565177326885
39627847647625917,0.0,0.51,0.49,0.0,0.49985572087640495
39627805356458309,0.0,0.09,0.91,0.0,0.21823490853205144
39627805360652386,0.0,0.32,0.68,0.0,0.45219072886224687
39627853687424320,0.0,0.84,0.16,0.0,0.3171547773202831
39627823501018809,0.0,0.16,0.84,0.0,0.3171547773202831
39627841586857376,0.0,0.84,0.16,0.0,0.3171547773202831
39627829507261792,0.0,0.41,0.59,0.0,0.488250234378912
39627823501020808,0.0,0.57,0.43,0.0,0.4929075185894599
39627853695813715,0.0,0.18,0.82,0.0,0.34003852286413994
39627853695813525,0.0,0.32,0.68,0.0,0.45219072886224687
39627811396256267,0.0,0.44,0.56,0.0,0.4947937606110278
39627829524039097,0.0,0.55,0.45,0.0,0.49638722699390414
39627823467464283,0.0,0.91,0.09,0.0,0.21823490853205144
39627877821450819,0.0,0.44,0.56,0.0,0.4947937606110278
39627811400451727,0.0,0.68,0.32,0.0,0.45219072886224687
39627853687424974,0.0,0.18,0.82,0.0,0.34003852286413994
39627823475856215,0.0,0.12,0.88,0.0,0.2646804326436822
39627877821450691,0.0,0.79,0.21,0.0,0.37074136996563684
39627817431862776,0.0,0.0,0.85,0.15,0.3049201523582002
39627811400451435,0.0,0.75,0.25,0.0,0.4056390622295664
39627823480048193,0.0,0.81,0.19,0.0,0.3507357299419487
39627823501018916,0.0,0.7,0.3,0.0,0.44064544961534635
39627859727223405,0.0,0.0,0.85,0.15,0.3049201523582002
39627823471658524,0.0,0.88,0.12,0.0,0.2646804326436822
