TARGETID,p_void,p_sheet,p_filament,p_knot,H
39633325970689343,0.0,0.99,0.01,0.0,0.04039656794795559
39633342949231032,0.0,0.74,0.26,0.0,0.4133731862463089
39633308430108651,0.0,1.0,0.0,0.0,-0.0
39633325924549243,0.0,0.35,0.65,0.0,0.4670340276877455
39633315510094002,0.0,0.33,0.67,0.0,0.4574631863898637
39633311949131634,0.0,0.11,0.89,0.0,0.249957979082264
39633325924549335,0.0,0.03,0.97,0.0,0.0971959289157881
39633325928744049,0.0,0.29,0.71,0.0,0.43436062316970225
39633325928745818,0.0,0.0,0.98,0.02,0.07072027127091034
39633325932938356,0.0,0.35,0.65,0.0,0.4670340276877455
39633308396556381,0.0,0.34,0.66,0.0,0.46240935248651505
39633304835589766,0.0,0.73,0.27,0.0,0.42073231810408784
39633329380658903,0.0,0.22,0.78,0.0,0.38008375148098283
39633304835590010,0.0,0.06,0.94,0.0,0.16372245957723813
39633304835590321,0.0,0.39,0.61,0.0,0.4823997742525436
39633315484928241,0.0,0.3,0.7,0.0,0.44064544961534635
39633311940739660,0.0,0.24,0.76,0.0,0.39752013969226113
39633308396554665,0.0,0.08,0.92,0.0,0.2010895951011364
39633315505898231,0.0,0.45,0.55,0.0,0.49638722699390414
39633315505898784,0.0,0.0,0.91,0.09,0.21823490853205144
39633336192207162,0.0,0.88,0.12,0.0,0.2646804326436822
39633336196400798,0.0,0.14,0.86,0.0,0.292119405821428
39633315505898648,0.0,0.9,0.1,0.0,0.2344977967946406
39633336196400908,0.04,0.87,0.09,0.0,0.33660104912826144
39633315505898513,0.0,0.9,0.1,0.0,0.2344977967946406
39633318974590072,0.0,0.4,0.6,0.0,0.4854752972273343
39633315472347285,0.0,0.04,0.96,0.0,0.12114609454120741
39633329393240605,0.0,0.75,0.25,0.0,0.4056390622295664
39633329410017497,0.0,0.36,0.64,0.0,0.4713415946277461
39633311970103693,0.0,0.36,0.64,0.0,0.4713415946277461
39633329397433268,0.0,0.41,0.59,0.0,0.488250234378912
39633319016532748,0.0,0.88,0.12,0.0,0.2646804326436822
39633319016532727,0.0,1.0,0.0,0.0,-0.0
39633315489120606,0.0,0.47,0.53,0.0,0.4987007942838698
39633319016533345,0.0,0.01,0.99,0.0,0.04039656794795559
39633329389047728,0.02,0.97,0.01,0.0,0.11097036642660543
39633308421718718,0.0,0.15,0.85,0.0,0.3049201523582002
39633315484929577,0.0,0.04,0.96,0.0,0.12114609454120741
39633311965906782,0.0,0.85,0.15,0.0,0.3049201523582002
39633329384853284,0.0,0.7,0.3,0.0,0.44064544961534635
39633329384853286,0.0,0.87,0.13,0.0,0.2787190925139945
39633319016532674,0.0,0.04,0.96,0.0,0.12114609454120741
39633315480735341,0.0,0.2,0.8,0.0,0.36096404744368116
39633315472347248,0.0,0.12,0.88,0.0,0.2646804326436822
39633304852366838,0.0,0.89,0.11,0.0,0.249957979082264
39633304852366776,0.0,0.01,0.99,0.0,0.04039656794795559
39633308430108006,0.0,0.19,0.81,0.0,0.3507357299419487
39633329393241346,0.0,0.15,0.85,0.0,0.3049201523582002
39633308430108061,0.0,0.01,0.98,0.01,0.08072027127091033
39633329397434325,0.0,0.13,0.87,0.0,0.2787190925139945
39633318974590056,0.0,0.96,0.04,0.0,0.12114609454120741
39633332803209080,0.0,0.27,0.73,0.0,0.42073231810408784
39633336192207079,0.0,0.7,0.3,0.0,0.44064544961534635
39633329397432760,0.0,0.28,0.72,0.0,0.4277254052800653
39633325941327097,0.0,0.95,0.05,0.0,0.14319847855797813
39633325941327065,0.0,0.07,0.93,0.0,0.18296182545011158
39633322472639432,0.0,0.09,0.91,0.0,0.21823490853205144
39633325941326999,0.0,0.8,0.2,0.0,0.36096404744368116
39633336192207704,0.0,0.12,0.88,0.0,0.2646804326436822
39633336192207780,0.0,0.63,0.37,0.0,0.47533604634353294
39633336192207782,0.0,0.09,0.91,0.0,0.21823490853205144
39633329410017799,0.0,0.07,0.93,0.0,0.18296182545011158
39633336192208403,0.0,0.63,0.37,0.0,0.47533604634353294
39633308413330716,0.0,0.3,0.7,0.0,0.44064544961534635
39633308413330700,0.0,0.8,0.2,0.0,0.36096404744368116
