TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39633171142148859,-0.5555555555555556,sheet,0.0,1.0,0.0,0.0,-0.0
39633166855571758,-0.5121951219512195,sheet,0.0,1.0,0.0,0.0,-0.0
39633153916144226,-0.6,sheet,0.0,1.0,0.0,0.0,-0.0
39633132038656133,0.0,filament,0.0,0.39,0.61,0.0,0.4823997742525436
39633132038656190,-0.4,filament,0.0,0.46,0.54,0.0,0.49768921941011285
39633127575913481,0.375,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39633136442674310,0.4117647058823529,filament,0.0,0.16,0.84,0.0,0.3171547773202831
39633118667213977,0.47368421052631576,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39633162568994009,0.0,sheet,0.0,0.62,0.38,0.0,0.47902101111314976
39633132000906508,0.0,filament,0.0,0.45,0.55,0.0,0.49638722699390414
39633145242322455,0.7142857142857143,filament,0.0,0.0,0.91,0.09,0.21823490853205144
39633153928726716,0.4666666666666667,filament,0.0,0.29,0.71,0.0,0.43436062316970225
39633140829916275,0.6,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633153932921392,0.125,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39633158261441442,-0.14285714285714285,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39633153932921449,-0.09090909090909091,sheet,0.0,0.73,0.27,0.0,0.42073231810408784
39633158253055182,0.23076923076923078,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39633145208767293,-0.25,sheet,0.0,0.57,0.43,0.0,0.4929075185894599
39633158274023914,-0.5294117647058824,sheet,0.0,0.7,0.3,0.0,0.44064544961534635
39633153928726643,-0.4117647058823529,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39633136421701463,-0.3333333333333333,sheet,0.01,0.82,0.17,0.0,0.3678974314876692
39633132034459871,0.5,filament,0.0,0.11,0.89,0.0,0.249957979082264
39633123146730203,0.16666666666666666,filament,0.0,0.07,0.9,0.03,0.2785623417561752
39633132000905092,0.06666666666666667,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39633118654629224,-0.2,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39633127592690887,0.0,sheet,0.0,0.59,0.41,0.0,0.488250234378912
39633118654629464,-0.14285714285714285,sheet,0.0,0.58,0.42,0.0,0.49072694751682683
39633132017682497,0.391304347826087,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633132034459724,0.375,sheet,0.0,0.69,0.31,0.0,0.4465867291889284
39633136442674177,-0.17647058823529413,sheet,0.0,0.91,0.09,0.0,0.21823490853205144
39633123150924203,0.16666666666666666,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633140855081352,-0.23076923076923078,sheet,0.0,0.91,0.09,0.0,0.21823490853205144
39633140855081461,0.23076923076923078,filament,0.0,0.43,0.57,0.0,0.4929075185894599
39633136463642792,-0.23076923076923078,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39633140855081204,0.14285714285714285,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39633140859273548,0.0,sheet,0.0,0.76,0.24,0.0,0.39752013969226113
39633140863469307,0.23076923076923078,sheet,0.0,0.8,0.2,0.0,0.36096404744368116
39633114175112738,-0.25,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633140821526130,-0.5714285714285714,sheet,0.0,1.0,0.0,0.0,-0.0
39633149579232768,-0.3333333333333333,filament,0.0,0.49,0.51,0.0,0.49985572087640495
39633158253054939,0.6923076923076923,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39633136463643876,0.0,filament,0.0,0.45,0.55,0.0,0.49638722699390414
39633136430091956,-0.45454545454545453,sheet,0.0,1.0,0.0,0.0,-0.0
39633158253054915,0.375,filament,0.0,0.0,1.0,0.0,-0.0
39633114175112672,0.36363636363636365,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633158253054876,0.25,filament,0.0,0.08,0.92,0.0,0.2010895951011364
39633149612786732,0.0,sheet,0.0,0.6,0.4,0.0,0.4854752972273343
39633140855081516,0.4117647058823529,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39633114175112703,0.5384615384615384,filament,0.0,0.08,0.92,0.0,0.2010895951011364
39633140846694278,0.0,sheet,0.0,0.8,0.2,0.0,0.36096404744368116
39633123134148080,0.5384615384615384,filament,0.0,0.0,0.87,0.13,0.2787190925139945
39633127567524216,-0.07692307692307693,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39633132005100850,-0.6666666666666666,sheet,0.07,0.93,0.0,0.0,0.18296182545011158
39633123129953656,-0.07692307692307693,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39633118658826059,-0.4,sheet,0.0,0.7,0.3,0.0,0.44064544961534635
39633123129954510,0.5384615384615384,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39633127592691720,0.09090909090909091,sheet,0.0,0.8,0.2,0.0,0.36096404744368116
39633149600204413,0.23076923076923078,filament,0.0,0.42,0.58,0.0,0.49072694751682683
39633158265636246,0.25,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39633127592691471,-0.125,filament,0.0,0.45,0.55,0.0,0.49638722699390414
39633145217157637,0.2,sheet,0.0,0.73,0.27,0.0,0.42073231810408784
39633118654628925,-0.375,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39633149612788453,-0.17647058823529413,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39633132042847353,-0.3333333333333333,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633132009292155,-0.1,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
39633153949699304,0.09090909090909091,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633136455255927,0.5555555555555556,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39633136459452333,0.42857142857142855,filament,0.0,0.01,0.95,0.04,0.16124668093016215
39633145217157280,-0.44,sheet,0.0,1.0,0.0,0.0,-0.0
39633153953890554,0.0,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633153953890766,-0.06666666666666667,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39633118671407759,-0.4,sheet,0.0,0.65,0.35,0.0,0.4670340276877455
